seconds,stage,highestStage,deaths,attackLevel,healthLevel,regenLevel,critLevel,attack,gold,diamonds,mission,goldCave,relicCave
7.50,0,0,0,2,2,2,2,330.649933,8,1998,1,0,0
357.06,10,10,1,282,282,282,281,76036.85,14,548,36,0,0
730.74,20,20,1,402,402,402,401,367672.719,17,2048,58,0,0
1316.64,30,30,1,485,485,485,485,934651.2,83,1508,80,0,0
1916.66,38,38,1,547,547,547,546,2711974,4193,568,102,0,0
1997.04,40,40,1,559,559,558,558,3065883.75,36,768,102,0,0
2597.06,49,49,1,609,609,609,609,5111498,189,2168,120,0,0
2660.32,50,50,1,612,612,612,612,5294020.5,110,2168,120,0,0
3260.34,59,59,1,677,676,676,676,14491462,6077,1928,148,1,1
3278.86,60,60,1,677,676,676,676,14491462,6077,1928,148,1,1
3789.16,70,70,1,719,719,719,719,22083742,7212,1288,170,1,1
4342.68,80,80,1,761,760,760,760,33786104,4532,688,192,1,1
4904.12,90,90,1,797,796,796,796,4.813661E+07,209,2248,214,1,1
5469.18,100,100,1,830,829,829,829,6.744898E+07,18,1308,236,1,1
6035.08,110,110,1,872,871,871,871,103943960,548,1108,258,2,2
6579.60,120,120,1,899,899,899,898,135157360,6210,2468,280,2,2
7114.82,130,130,1,927,927,927,927,1.810216E+08,168,1768,302,2,2
7679.38,140,140,1,950,950,949,949,225874624,6650,1228,324,2,2
8265.50,150,150,1,975,975,974,974,287409472,349,588,346,2,2
8865.52,157,157,1,1000,1000,1000,1000,3.675263E+08,298,1988,368,3,3
9040.22,160,160,2,1007,1007,1007,1006,392646336,1044,2048,368,3,3
9612.96,170,170,2,1026,1025,1025,1025,471779744,12318,1548,390,3,3
10212.98,178,178,3,1046,1046,1046,1046,5.713631E+08,540,808,412,3,3
10308.66,180,180,3,1050,1049,1049,1049,593264640,1011,808,412,3,3
10908.68,189,189,3,1067,1066,1066,1066,6.973596E+08,507,2268,434,3,3
10941.60,190,190,3,1068,1068,1068,1067,7.039365E+08,1361,2268,434,3,3
11541.62,198,198,4,1085,1085,1085,1084,8.382301E+08,1144,1768,456,3,3
11646.60,200,200,4,1087,1086,1086,1086,8.580145E+08,10030,1768,456,3,3
12246.62,209,209,5,1106,1105,1105,1105,1.02966694E+09,1152,1228,478,3,3
12285.60,210,210,5,1106,1105,1105,1105,1.02966694E+09,10412,1228,478,3,3
12885.62,218,218,6,1124,1123,1123,1123,1.23633664E+09,1503,788,500,3,3
12977.16,220,220,6,1125,1125,1125,1124,1.2479392E+09,1601,788,500,3,3
13577.18,229,229,7,1143,1143,1143,1142,1.48811776E+09,269,2148,522,3,3
13620.72,230,230,7,1143,1143,1143,1142,1.48811776E+09,10442,2148,522,3,3
14220.73,238,238,8,1160,1160,1160,1159,1.74917389E+09,729,1648,544,3,3
14320.91,240,240,8,1162,1161,1161,1161,1.7820617E+09,476,1648,544,3,3
14920.93,248,248,9,1177,1177,1177,1176,2.06517056E+09,16985,1108,566,3,3
14990.17,250,250,9,1181,1180,1180,1180,2.14344922E+09,691,1108,566,3,3
15590.19,258,258,10,1195,1195,1195,1194,2.45186125E+09,78,568,588,3,3
15683.91,260,260,10,1198,1197,1197,1197,2.521147E+09,950,568,588,3,3
16283.93,269,269,11,1212,1212,1212,1211,2.876303E+09,2146,2028,610,3,3
16330.19,270,270,11,1214,1213,1213,1213,2.93017242E+09,841,2028,610,3,3
16901.15,280,280,11,1226,1226,1226,1225,3.422362E+09,13976,1628,632,3,3
17501.17,288,288,12,1240,1240,1240,1240,3.917807E+09,233,888,654,3,3
17567.15,290,290,12,1242,1241,1241,1241,3.9910377E+09,7,988,654,3,3
18167.17,298,298,13,1255,1255,1254,1254,4.51830938E+09,13480,548,676,3,3
18236.91,300,300,13,1257,1257,1257,1256,4.60267827E+09,1574,548,676,3,3
