seconds,stage,highestStage,deaths,attackLevel,healthLevel,regenLevel,critLevel,attack,gold,diamonds,mission,goldCave,relicCave
7.78,0,0,0,3,3,3,3,351.0445,10,1998,1,0,0
372.62,10,10,1,276,275,275,275,55283.58,1,548,36,0,0
960.72,20,20,1,391,391,391,390,230055.1,84,2008,58,0,0
1560.74,26,26,1,457,456,456,456,462959.625,2666,1408,80,0,0
1948.54,30,30,1,477,477,476,476,561424.9,997,1468,80,0,0
2548.56,34,34,1,512,511,511,511,785831.6,60,2118,91,0,0
3073.82,40,40,1,546,546,546,546,1648627,139,528,102,0,0
3673.84,45,45,1,585,585,584,584,2379488,86,1788,120,0,0
4230.68,50,50,1,602,602,602,601,2796571.5,1247,1988,120,0,0
4830.70,56,56,1,660,660,659,659,6790723.5,190,1648,148,1,1
5126.48,60,60,1,671,670,670,670,7500593,3755,1748,148,1,1
5726.50,67,67,1,707,707,707,706,10439239,167,1108,170,1,1
5928.04,70,70,1,716,715,715,715,11314487,13,1108,170,1,1
6528.06,77,77,1,747,746,746,746,15111323,311,2368,192,1,1
6768.44,80,80,1,754,754,754,754,16079985,132,2368,192,1,1
7368.46,86,86,1,783,783,782,782,2.087254E+07,37,1828,214,1,1
7666.64,90,90,1,790,789,789,789,22201406,79,1928,214,1,1
8266.66,96,96,1,815,815,815,814,28317922,66,1088,236,1,1
8592.94,100,100,1,822,822,822,821,30262684,5255,1088,236,1,1
9192.96,106,106,1,857,857,856,856,4.224895E+07,332,648,258,2,2
9481.04,110,110,1,867,866,866,866,46093932,77,748,258,2,2
10081.06,117,117,1,887,887,887,887,55034724,600,2008,280,2,2
10335.02,120,120,1,894,894,894,894,58480004,235,2208,280,2,2
10935.04,127,127,1,912,912,912,912,7.015757E+07,5018,1368,302,2,2
11200.94,130,130,1,919,918,918,918,7.453412E+07,6221,1468,302,2,2
11800.96,136,136,1,938,938,937,937,8.813615E+07,477,828,324,2,2
12108.54,140,140,1,946,945,945,945,9.442477E+07,18,928,324,2,2
12708.56,146,146,1,961,961,961,960,107620760,394,2188,346,2,2
13042.16,150,150,1,968,968,968,967,1.142914E+08,843,2288,346,2,2
13642.18,155,155,1,991,991,991,991,140593232,309,1448,368,3,3
14066.06,160,160,1,999,999,999,999,1.505588E+08,659,1548,368,3,3
14666.07,166,166,1,1014,1014,1014,1014,1.717762E+08,392,908,390,3,3
15007.39,170,170,1,1021,1021,1021,1020,182356592,675,1008,390,3,3
15607.41,176,176,1,1034,1033,1033,1033,2.044326E+08,3254,2468,412,3,3
15997.45,180,180,1,1040,1040,1040,1039,215280768,5351,568,412,3,3
16597.47,185,185,1,1053,1053,1053,1053,241633776,7,1728,434,3,3
17026.11,190,190,1,1059,1059,1058,1058,254282944,7719,1828,434,3,3
17626.13,195,195,1,1072,1071,1071,1071,2.883576E+08,222,1188,456,3,3
18060.59,200,200,1,1079,1079,1078,1078,307398272,31,1348,456,3,3
18660.61,206,206,1,1089,1089,1089,1089,337882624,5838,548,478,3,3
19063.33,210,210,1,1097,1096,1096,1096,3.615796E+08,113,608,478,3,3
19663.35,216,216,1,1108,1107,1107,1107,405195136,785,1908,500,3,3
20053.19,220,220,1,1113,1113,1113,1113,4.227003E+08,1495,2068,500,3,3
20653.21,225,225,1,1123,1123,1123,1122,464121152,9618,1368,522,3,3
21089.47,230,230,1,1130,1129,1129,1129,492389984,5356,1528,522,3,3
21689.49,235,235,1,1140,1140,1140,1140,537796544,545,588,544,3,3
22140.25,240,240,1,1147,1146,1146,1146,5.705016E+08,481,788,544,3,3
22740.27,245,245,1,1156,1156,1156,1155,616569856,360,2048,566,3,3
23217.97,250,250,1,1162,1162,1162,1162,648528064,1143,2248,566,3,3
23817.99,255,255,1,1171,1171,1170,1170,705748352,1269,1608,588,3,3
24318.27,260,260,1,1177,1177,1176,1176,7.422811E+08,7194,1808,588,3,3
24918.29,265,265,1,1186,1186,1186,1185,8.224136E+08,1785,768,610,3,3
25397.05,270,270,1,1192,1191,1191,1191,8.649312E+08,8288,1028,610,3,3
25997.07,275,275,1,1200,1200,1200,1200,926471232,2205,2228,632,3,3
26513.41,280,280,1,1207,1207,1206,1206,9.825208E+08,731,2388,632,3,3
27113.43,285,285,1,1214,1214,1214,1214,1.04642003E+09,1985,1748,654,3,3
27636.43,290,290,1,1220,1220,1220,1220,1.100394E+09,5386,1848,654,3,3
28236.45,295,295,1,1228,1228,1228,1227,1.18724493E+09,2181,1108,676,3,3
28767.05,300,300,1,1234,1234,1234,1234,1.24841446E+09,1660,1208,676,3,3
