seconds,stage,highestStage,deaths,attackLevel,healthLevel,regenLevel,critLevel,attack,gold,diamonds,mission,goldCave,relicCave
7.46,0,0,0,3,3,3,2,351.0445,11,1998,1,0,0
352.44,10,10,1,273,273,273,273,53486.8164,59,548,36,0,0
891.70,20,20,1,388,388,388,387,223230.953,2204,2048,58,0,0
1491.72,27,27,1,464,463,463,463,495381.969,92,1408,80,0,0
1754.82,30,30,1,480,479,479,479,577817.7,105,1508,80,0,0
2354.84,35,35,1,525,525,525,525,1352338.25,59,568,102,0,0
2765.34,40,40,1,544,544,544,544,1618071.88,3041,528,102,0,0
3365.36,46,46,1,588,588,587,587,2446304,67,1828,120,0,0
3767.04,50,50,1,603,603,603,602,2822385,1245,1988,120,0,0
4367.06,56,56,1,664,664,664,664,7040942,84,1788,148,1,1
4581.86,60,60,1,673,673,673,672,7637203.5,114,1748,148,1,1
5181.88,68,68,1,711,711,710,710,10819757,2778,1148,170,1,1
5292.50,70,70,1,715,715,715,714,11213806,263,1148,170,1,1
5892.52,78,78,1,750,750,750,750,15519266,129,2408,192,1,1
6043.62,80,80,1,756,756,756,755,16367731,361,2408,192,1,1
6643.64,87,87,1,784,783,783,783,2.105749E+07,81,1868,214,1,1
6845.74,90,90,1,790,790,789,789,22201406,4133,1968,214,1,1
7445.76,97,97,1,817,817,817,817,28537404,192,1128,236,1,1
7667.58,100,100,1,823,823,823,822,3.023207E+07,526,1128,236,1,1
8267.60,106,106,1,859,859,859,858,42646464,602,788,258,2,2
8513.26,110,110,1,868,867,867,867,46123308,49,888,258,2,2
9113.28,117,117,1,891,890,890,890,56492948,229,2048,280,2,2
9265.28,120,120,1,893,893,893,893,5.748137E+07,408,2148,280,2,2
9865.30,127,127,1,917,917,916,916,72627464,573,1448,302,2,2
10038.98,130,130,1,920,919,919,919,7.453487E+07,5871,1508,302,2,2
10639.00,137,137,1,941,941,940,940,89670136,495,908,324,2,2
10835.82,140,140,1,946,946,946,946,93616344,427,968,324,2,2
11435.84,147,147,1,964,963,963,963,109542136,510,2268,346,2,2
11680.02,150,150,1,970,970,969,969,115334936,526,2368,346,2,2
12280.04,155,155,1,992,992,991,991,140602432,7536,1528,368,3,3
12634.38,160,160,1,1001,1001,1001,1000,151861088,422,1688,368,3,3
13234.40,167,167,1,1016,1016,1016,1016,173160736,380,1088,390,3,3
13470.48,170,170,1,1022,1021,1021,1021,1.822619E+08,970,1088,390,3,3
14070.50,176,176,1,1035,1035,1034,1034,2.045693E+08,7860,548,412,3,3
14345.79,180,180,1,1042,1041,1041,1041,217140288,547,548,412,3,3
14945.81,186,186,1,1055,1054,1054,1054,243583568,669,2008,434,3,3
15245.47,190,190,1,1061,1061,1060,1060,256332144,31,2108,434,3,3
15845.49,196,196,1,1073,1072,1072,1072,2.880922E+08,1022,1268,456,3,3
16175.21,200,200,1,1078,1078,1078,1078,301959040,1334,1368,456,3,3
16775.23,206,206,1,1092,1092,1092,1091,3.433831E+08,1261,628,478,3,3
17060.03,210,210,1,1097,1096,1096,1096,358240832,1319,828,478,3,3
17660.05,216,216,1,1110,1109,1109,1109,412335328,98,2088,500,3,3
17950.11,220,220,1,1114,1114,1114,1113,4.265237E+08,700,2288,500,3,3
18550.13,226,226,1,1125,1125,1124,1124,472158144,62,1548,522,3,3
18881.49,230,230,1,1130,1129,1129,1129,4.925237E+08,7595,1648,522,3,3
19481.51,236,236,1,1141,1141,1141,1140,5.420591E+08,950,808,544,3,3
19819.03,240,240,1,1146,1146,1146,1146,5.654056E+08,1441,1008,544,3,3
20419.05,246,246,1,1157,1157,1156,1156,6.217858E+08,5824,2268,566,3,3
20750.75,250,250,1,1161,1161,1161,1160,6.430901E+08,12312,2328,566,3,3
21350.77,256,256,1,1172,1172,1172,1172,7.111394E+08,836,1828,588,3,3
21708.77,260,260,1,1177,1176,1176,1176,741684864,10590,1988,588,3,3
22308.79,266,266,1,1187,1187,1187,1187,8.293533E+08,234,1088,610,3,3
22682.31,270,270,1,1193,1192,1192,1192,8.722261E+08,927,1248,610,3,3
23282.33,275,275,1,1201,1201,1201,1201,9.349316E+08,518,548,632,3,3
23682.99,280,280,1,1206,1206,1206,1205,974992256,9238,708,632,3,3
24283.01,286,286,1,1216,1216,1215,1215,1.06631917E+09,1530,2008,654,3,3
24676.17,290,290,1,1221,1221,1220,1220,1.11195418E+09,2036,2068,654,3,3
25276.19,296,296,1,1229,1229,1229,1228,1.19938176E+09,6301,1328,676,3,3
25685.35,300,300,1,1235,1234,1234,1234,1.26117171E+09,154,1428,676,3,3
